2020-05-08 10:54:03,629 - urllib3.connectionpool - DEBUG - Starting new HTTPS connection (1): scholar.google.com:443
2020-05-08 10:54:04,100 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?q=Expi293 HTTP/1.1" 200 None
2020-05-08 10:54:14,811 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=10&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:54:25,177 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=20&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:54:35,575 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=30&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:54:44,338 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=40&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:54:50,278 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=50&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:54:58,875 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=60&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:05,174 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=70&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:12,611 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=80&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:23,012 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=90&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:33,364 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=100&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:42,153 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=110&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:47,893 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=120&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:55:55,940 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=130&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:03,726 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=140&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:13,138 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=150&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:22,107 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=160&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:31,973 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=170&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:41,472 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=180&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:50,889 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=190&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:56:56,650 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=200&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:06,735 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=210&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:13,784 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=220&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:23,783 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=230&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:33,022 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=240&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:41,548 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=250&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:48,443 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=260&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:57:56,618 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=270&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
2020-05-08 10:58:06,606 - urllib3.connectionpool - DEBUG - https://scholar.google.com:443 "GET /scholar?start=280&q=Expi293&hl=en&as_sdt=0,5 HTTP/1.1" 200 None
